Brand,Model,Year,Selling_Price,KM_Driven,Fuel,Seller_Type,Transmission,Owner
9,341,-0.9705625065262907,210000,-0.05823009176470463,4,0,0,0
19,1088,1.1647406085416476,4500000,-1.2096337029293778,4,0,0,0
2,36,0.9274847068674321,2750000,-1.1410211972361384,1,1,0,0
28,1487,1.1647406085416476,1975000,-0.96948993300304,1,0,0,0
18,948,-1.2078184082005061,175000,-0.7942493051809008,4,0,1,0
2,33,-0.25879480150364464,2500000,-0.3905719162163328,1,0,0,0
17,637,0.9274847068674321,628000,1.153209461881553,1,1,1,0
10,492,-0.7333066048520753,600000,0.7243813012988068,1,1,1,0
21,1106,0.9274847068674321,399000,-0.7765172607408042,4,1,1,0
17,762,1.1647406085416476,750000,0.44564299692002196,1,1,1,0
10,420,1.401996510215863,750000,-1.0981383811778638,4,1,1,0
23,1154,0.9274847068674321,315000,-1.0766969731487264,4,1,1,0
17,767,-0.25879480150364464,600000,-0.1332750198666852,1,1,1,0
18,1041,-0.7333066048520753,100000,-0.1332750198666852,4,1,1,1
18,947,-0.49605070317786,250000,0.9387953815901798,4,1,1,4
23,1154,0.9274847068674321,350000,-0.8837243008864907,4,1,1,0
10,375,0.6902288051932168,780000,-0.1332750198666852,1,1,1,0
18,971,0.2157170018447861,434000,0.28161622549712156,1,1,1,2
10,511,0.6902288051932168,690000,0.2955531407160608,4,1,0,0
17,687,0.2157170018447861,555000,0.5099672210074339,1,1,1,2
18,942,-1.4450743098747214,120000,0.5099672210074339,4,1,1,2
18,883,0.2157170018447861,500000,1.153209461881553,1,1,1,2
3,50,-0.02153889982942928,165000,-0.1332750198666852,1,1,1,2
18,1070,-2.1568420148973675,95000,-0.3476891001580582,4,1,1,0
18,823,1.1647406085416476,550000,-0.9909313410321773,4,1,1,0
18,1005,-1.4450743098747214,100000,0.9387953815901798,1,1,1,1
25,1283,-0.25879480150364464,100000,-0.3476891001580582,4,1,1,2
26,1408,-0.25879480150364464,500000,0.7243813012988068,1,1,1,0
18,880,0.6902288051932168,800000,0.08113906042468783,1,1,1,2
10,380,0.6902288051932168,840000,0.08113906042468783,1,1,1,2
9,271,0.6902288051932168,490000,-0.3476891001580582,4,1,1,0
25,1228,-0.7333066048520753,125000,0.3169945487451981,1,1,1,2
3,92,-0.25879480150364464,400000,1.153209461881553,1,1,1,4
3,63,0.45297290351900144,1000000,-1.342570432710029,1,0,1,0
8,221,0.45297290351900144,530000,-1.1137477262230757,4,0,1,0
8,155,0.9274847068674321,840000,-0.36456348827698926,1,0,1,0
10,562,0.45297290351900144,229999,-0.5621031804494312,4,1,1,0
18,782,-3.5803774249426596,40000,-0.5621031804494312,4,1,1,1
3,85,-0.25879480150364464,130000,0.2955531407160608,4,1,1,0
10,396,0.45297290351900144,200000,0.08113906042468783,4,1,1,0
25,1229,-0.49605070317786,120000,0.08113906042468783,1,1,1,0
10,465,-2.394097916571583,75000,-0.1975992439540971,4,1,1,0
25,1206,0.6902288051932168,250000,1.153209461881553,1,1,1,0
18,777,-1.9195861132231522,100000,-0.7765172607408042,4,1,1,0
10,396,-0.02153889982942928,280000,-1.3502893396005184,4,1,1,2
10,600,0.45297290351900144,540000,-1.3125524614692368,4,1,1,0
10,566,1.1647406085416476,700000,-1.2053454213235502,4,1,1,0
18,858,0.45297290351900144,525000,0.7243813012988068,1,1,1,0
10,595,0.6902288051932168,430000,0.2955531407160608,1,1,1,0
10,463,-2.631353818245798,65000,0.08113906042468783,4,1,1,0
18,1017,1.1647406085416476,800000,-0.6693102205951177,1,1,1,0
10,486,-1.4450743098747214,75000,1.0245610137067291,4,1,1,2
10,421,-1.2078184082005061,210000,-0.2668121090721523,4,1,1,0
17,669,-0.25879480150364464,195000,1.582037622464299,1,1,1,2
3,96,0.45297290351900144,400000,1.153209461881553,1,1,1,0
10,402,-0.25879480150364464,170000,-0.1332750198666852,4,1,1,0
23,1154,0.6902288051932168,225000,-0.8837243008864907,4,1,1,0
18,1028,0.2157170018447861,210000,0.5099672210074339,3,1,1,0
18,1034,1.6392524118900782,240000,1.153209461881553,4,1,1,0
3,65,0.45297290351900144,300000,2.3324869034841043,1,1,1,0
3,85,-0.49605070317786,99000,0.7243813012988068,4,1,1,4
9,325,0.2157170018447861,620000,-0.6478688125659804,4,1,1,0
9,279,-0.02153889982942928,500000,-0.7765172607408042,1,1,1,0
12,613,-0.7333066048520753,2550000,-0.5621031804494312,4,1,0,2
9,290,-0.02153889982942928,260000,0.08113906042468783,4,1,1,2
18,997,0.9274847068674321,550000,-0.1332750198666852,4,1,1,0
25,1244,-0.49605070317786,150000,1.914379446915927,1,1,1,0
10,550,-0.49605070317786,350000,-0.3476891001580582,4,1,0,2
3,56,0.6902288051932168,320000,-0.5621031804494312,4,1,1,0
18,993,0.45297290351900144,400000,0.7243813012988068,1,1,1,4
18,814,-0.25879480150364464,175000,0.2955531407160608,4,1,1,4
3,56,-0.49605070317786,120000,0.5099672210074339,4,1,1,2
23,1133,-0.02153889982942928,320000,0.5099672210074339,1,1,1,2
10,479,-1.682330211548937,70000,0.9387953815901798,4,1,1,4
18,981,1.401996510215863,810000,-1.0981383811778638,4,1,1,0
18,775,-1.4450743098747214,95000,0.7243813012988068,4,1,1,2
18,804,1.6392524118900782,282000,-0.5621031804494312,0,1,1,0
18,783,-2.1568420148973675,80000,-0.1332750198666852,4,1,1,2
